Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes
442,Luxembourg,2015,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.
442,Luxembourg,2018,Urban population (percent),,,91,
442,Luxembourg,2018,Capital city population (thousands),Luxembourg,,120,
450,Madagascar,2005,Urban population (percent),,,28.8,
450,Madagascar,2005,Urban population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.
450,Madagascar,2005,Rural population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
450,Madagascar,2005,Capital city population (thousands),Antananarivo,,"1,561",
450,Madagascar,2005,Capital city population (as a percentage of total population),Antananarivo,,8.5,
450,Madagascar,2005,Capital city population (as a percentage of total urban population),Antananarivo,,29.5,
450,Madagascar,2010,Urban population (percent),,,31.9,
450,Madagascar,2010,Urban population (percent growth rate per annum),,,4.9,Data refers to a 5-year period preceding the reference year.
450,Madagascar,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
450,Madagascar,2010,Capital city population (thousands),Antananarivo,,"2,021",
450,Madagascar,2010,Capital city population (as a percentage of total population),Antananarivo,,9.6,
450,Madagascar,2010,Capital city population (as a percentage of total urban population),Antananarivo,,29.9,
450,Madagascar,2015,Urban population (percent),,,35.2,
450,Madagascar,2015,Urban population (percent growth rate per annum),,,4.7,Data refers to a 5-year period preceding the reference year.
450,Madagascar,2015,Rural population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
450,Madagascar,2015,Capital city population (thousands),Antananarivo,,"2,618",
450,Madagascar,2015,Capital city population (as a percentage of total population),Antananarivo,,10.8,
450,Madagascar,2015,Capital city population (as a percentage of total urban population),Antananarivo,,30.7,
450,Madagascar,2018,Urban population (percent),,,37.2,
450,Madagascar,2018,Capital city population (thousands),Antananarivo,,"3,058",
454,Malawi,2005,Urban population (percent),,,15.1,
454,Malawi,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.
454,Malawi,2005,Rural population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
454,Malawi,2005,Capital city population (thousands),Lilongwe,,590,
454,Malawi,2005,Capital city population (as a percentage of total population),Lilongwe,,4.5,
454,Malawi,2005,Capital city population (as a percentage of total urban population),Lilongwe,,30.1,
454,Malawi,2010,Urban population (percent),,,15.5,
454,Malawi,2010,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
454,Malawi,2010,Rural population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.
454,Malawi,2010,Capital city population (thousands),Lilongwe,,731,
454,Malawi,2010,Capital city population (as a percentage of total population),Lilongwe,,4.8,
454,Malawi,2010,Capital city population (as a percentage of total urban population),Lilongwe,,31,
454,Malawi,2015,Urban population (percent),,,16.3,
454,Malawi,2015,Urban population (percent growth rate per annum),,,3.9,Data refers to a 5-year period preceding the reference year.
454,Malawi,2015,Rural population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.
454,Malawi,2015,Capital city population (thousands),Lilongwe,,905,
454,Malawi,2015,Capital city population (as a percentage of total population),Lilongwe,,5.2,
454,Malawi,2015,Capital city population (as a percentage of total urban population),Lilongwe,,31.6,
454,Malawi,2018,Urban population (percent),,,16.9,
454,Malawi,2018,Capital city population (thousands),Lilongwe,,"1,030",
458,Malaysia,2005,Urban population (percent),,,66.6,Including Sabah and Sarawak.
458,Malaysia,2005,Urban population (percent growth rate per annum),,,3.5,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.
458,Malaysia,2005,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.
458,Malaysia,2005,Capital city population (thousands),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,"4,927",Refers to the Greater Kuala Lumpur.
458,Malaysia,2005,Capital city population (as a percentage of total population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,19.2,Refers to the Greater Kuala Lumpur.
458,Malaysia,2005,Capital city population (as a percentage of total urban population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,28.8,Refers to the Greater Kuala Lumpur.
458,Malaysia,2010,Urban population (percent),,,70.9,Including Sabah and Sarawak.
458,Malaysia,2010,Urban population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.
458,Malaysia,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.
458,Malaysia,2010,Capital city population (thousands),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,"5,810",Refers to the Greater Kuala Lumpur.
458,Malaysia,2010,Capital city population (as a percentage of total population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,20.7,Refers to the Greater Kuala Lumpur.
458,Malaysia,2010,Capital city population (as a percentage of total urban population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,29.1,Refers to the Greater Kuala Lumpur.
458,Malaysia,2015,Urban population (percent),,,74.2,Including Sabah and Sarawak.
458,Malaysia,2015,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.
458,Malaysia,2015,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.;Including Sabah and Sarawak.
458,Malaysia,2015,Capital city population (thousands),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,"6,851",Refers to the Greater Kuala Lumpur.
458,Malaysia,2015,Capital city population (as a percentage of total population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,22.3,Refers to the Greater Kuala Lumpur.
458,Malaysia,2015,Capital city population (as a percentage of total urban population),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,30,Refers to the Greater Kuala Lumpur.
458,Malaysia,2018,Urban population (percent),,,76,Including Sabah and Sarawak.
458,Malaysia,2018,Capital city population (thousands),Kuala Lumpur,Kuala Lumpur is the capital and Putrajaya is the administrative capital.,"7,564",Refers to the Greater Kuala Lumpur.
462,Maldives,2005,Urban population (percent),,,33.8,
462,Maldives,2005,Urban population (percent growth rate per annum),,,6.5,Data refers to a 5-year period preceding the reference year.
462,Maldives,2005,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
462,Maldives,2010,Urban population (percent),,,36.4,
462,Maldives,2010,Urban population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.
462,Maldives,2010,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
462,Maldives,2015,Urban population (percent),,,38.5,
462,Maldives,2015,Urban population (percent growth rate per annum),,,3.9,Data refers to a 5-year period preceding the reference year.
462,Maldives,2015,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
462,Maldives,2018,Urban population (percent),,,39.8,
462,Maldives,2018,Capital city population (thousands),Male,,177,
466,Mali,2005,Urban population (percent),,,32.1,
466,Mali,2005,Urban population (percent growth rate per annum),,,5.5,Data refers to a 5-year period preceding the reference year.
466,Mali,2005,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
466,Mali,2005,Capital city population (thousands),Bamako,,"1,486",
466,Mali,2005,Capital city population (as a percentage of total population),Bamako,,11.6,
466,Mali,2005,Capital city population (as a percentage of total urban population),Bamako,,36.2,
466,Mali,2010,Urban population (percent),,,36,
466,Mali,2010,Urban population (percent growth rate per annum),,,5.6,Data refers to a 5-year period preceding the reference year.
466,Mali,2010,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
466,Mali,2010,Capital city population (thousands),Bamako,,"1,886",
466,Mali,2010,Capital city population (as a percentage of total population),Bamako,,12.5,
466,Mali,2010,Capital city population (as a percentage of total urban population),Bamako,,34.7,
466,Mali,2015,Urban population (percent),,,40,
466,Mali,2015,Urban population (percent growth rate per annum),,,5,Data refers to a 5-year period preceding the reference year.
466,Mali,2015,Rural population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
466,Mali,2015,Capital city population (thousands),Bamako,,"2,219",
466,Mali,2015,Capital city population (as a percentage of total population),Bamako,,12.7,
466,Mali,2015,Capital city population (as a percentage of total urban population),Bamako,,31.8,
466,Mali,2018,Urban population (percent),,,42.4,
466,Mali,2018,Capital city population (thousands),Bamako,,"2,447",
470,Malta,2005,Urban population (percent),,,93.6,
470,Malta,2005,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
470,Malta,2005,Rural population (percent growth rate per annum),,,-3.2,Data refers to a 5-year period preceding the reference year.
470,Malta,2010,Urban population (percent),,,94.1,
470,Malta,2010,Urban population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
470,Malta,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.
470,Malta,2015,Urban population (percent),,,94.4,
470,Malta,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
470,Malta,2015,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.
470,Malta,2018,Urban population (percent),,,94.6,
470,Malta,2018,Capital city population (thousands),Valletta,,213,Refers to the localities of the Northern Harbour and Southern Harbour.
584,Marshall Islands,2005,Urban population (percent),,,71.1,
584,Marshall Islands,2005,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
584,Marshall Islands,2005,Rural population (percent growth rate per annum),,,-1.7,Data refers to a 5-year period preceding the reference year.
584,Marshall Islands,2010,Urban population (percent),,,73.6,
584,Marshall Islands,2010,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
584,Marshall Islands,2010,Rural population (percent growth rate per annum),,,-1.6,Data refers to a 5-year period preceding the reference year.
584,Marshall Islands,2015,Urban population (percent),,,75.8,
584,Marshall Islands,2015,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
584,Marshall Islands,2015,Rural population (percent growth rate per annum),,,-1.6,Data refers to a 5-year period preceding the reference year.
584,Marshall Islands,2018,Urban population (percent),,,77,
584,Marshall Islands,2018,Capital city population (thousands),Majuro,,31,
474,Martinique,2005,Urban population (percent),,,89.3,
474,Martinique,2005,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
474,Martinique,2005,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
474,Martinique,2010,Urban population (percent),,,89.1,
474,Martinique,2010,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
474,Martinique,2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
474,Martinique,2015,Urban population (percent),,,89,
474,Martinique,2015,Urban population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
474,Martinique,2015,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.
474,Martinique,2018,Urban population (percent),,,89,
474,Martinique,2018,Capital city population (thousands),Fort-de-France,,79,
478,Mauritania,2005,Urban population (percent),,,42.1,
478,Mauritania,2005,Urban population (percent growth rate per annum),,,4.9,Data refers to a 5-year period preceding the reference year.
478,Mauritania,2005,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
478,Mauritania,2005,Capital city population (thousands),Nouakchott,,684,
478,Mauritania,2005,Capital city population (as a percentage of total population),Nouakchott,,21.8,
478,Mauritania,2005,Capital city population (as a percentage of total urban population),Nouakchott,,51.9,
478,Mauritania,2010,Urban population (percent),,,46.6,
478,Mauritania,2010,Urban population (percent growth rate per annum),,,4.9,Data refers to a 5-year period preceding the reference year.
478,Mauritania,2010,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
478,Mauritania,2010,Capital city population (thousands),Nouakchott,,851,
478,Mauritania,2010,Capital city population (as a percentage of total population),Nouakchott,,23.6,
478,Mauritania,2010,Capital city population (as a percentage of total urban population),Nouakchott,,50.6,
478,Mauritania,2015,Urban population (percent),,,51.1,
478,Mauritania,2015,Urban population (percent growth rate per annum),,,4.8,Data refers to a 5-year period preceding the reference year.
478,Mauritania,2015,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
478,Mauritania,2015,Capital city population (thousands),Nouakchott,,"1,058",
478,Mauritania,2015,Capital city population (as a percentage of total population),Nouakchott,,25.3,
478,Mauritania,2015,Capital city population (as a percentage of total urban population),Nouakchott,,49.5,
478,Mauritania,2018,Urban population (percent),,,53.7,
478,Mauritania,2018,Capital city population (thousands),Nouakchott,,"1,205",
480,Mauritius,2005,Urban population (percent),,,42.1,"Including Agalega, Rodrigues and Saint Brandon."
480,Mauritius,2005,Urban population (percent growth rate per annum),,,0.3,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year."
480,Mauritius,2005,Rural population (percent growth rate per annum),,,0.8,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year."
480,Mauritius,2010,Urban population (percent),,,41.6,"Including Agalega, Rodrigues and Saint Brandon."
480,Mauritius,2010,Urban population (percent growth rate per annum),,,0.2,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year."
480,Mauritius,2010,Rural population (percent growth rate per annum),,,0.6,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year."
480,Mauritius,2015,Urban population (percent),,,41,"Including Agalega, Rodrigues and Saint Brandon."
480,Mauritius,2015,Urban population (percent growth rate per annum),,,-0.1,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year."
480,Mauritius,2015,Rural population (percent growth rate per annum),,,0.4,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year."
480,Mauritius,2018,Urban population (percent),,,40.8,"Including Agalega, Rodrigues and Saint Brandon."
480,Mauritius,2018,Capital city population (thousands),Port Louis,,149,
175,Mayotte,2005,Urban population (percent),,,50.2,
175,Mayotte,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.
175,Mayotte,2005,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
175,Mayotte,2010,Urban population (percent),,,49,
175,Mayotte,2010,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
175,Mayotte,2010,Rural population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.
175,Mayotte,2015,Urban population (percent),,,47,
175,Mayotte,2015,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
175,Mayotte,2015,Rural population (percent growth rate per annum),,,3.6,Data refers to a 5-year period preceding the reference year.
175,Mayotte,2018,Urban population (percent),,,46.1,
175,Mayotte,2018,Capital city population (thousands),Mamoudzou,,6,
484,Mexico,2005,Urban population (percent),,,76.3,
484,Mexico,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
484,Mexico,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
484,Mexico,2005,Capital city population (thousands),Mexico City,,"19,276",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2005,Capital city population (as a percentage of total population),Mexico City,,17.8,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2005,Capital city population (as a percentage of total urban population),Mexico City,,23.3,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2010,Urban population (percent),,,77.8,
484,Mexico,2010,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
484,Mexico,2010,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
484,Mexico,2010,Capital city population (thousands),Mexico City,,"20,137",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2010,Capital city population (as a percentage of total population),Mexico City,,17.2,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2010,Capital city population (as a percentage of total urban population),Mexico City,,22.1,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2015,Urban population (percent),,,79.3,
484,Mexico,2015,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
484,Mexico,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
484,Mexico,2015,Capital city population (thousands),Mexico City,,"21,340",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2015,Capital city population (as a percentage of total population),Mexico City,,17,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2015,Capital city population (as a percentage of total urban population),Mexico City,,21.4,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
484,Mexico,2018,Urban population (percent),,,80.2,
484,Mexico,2018,Capital city population (thousands),Mexico City,,"21,581",Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.
583,Micronesia (Fed. States of),2005,Urban population (percent),,,22.3,
583,Micronesia (Fed. States of),2005,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
583,Micronesia (Fed. States of),2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
583,Micronesia (Fed. States of),2010,Urban population (percent),,,22.3,
583,Micronesia (Fed. States of),2010,Urban population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
583,Micronesia (Fed. States of),2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.
583,Micronesia (Fed. States of),2015,Urban population (percent),,,22.5,
583,Micronesia (Fed. States of),2015,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
583,Micronesia (Fed. States of),2015,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
583,Micronesia (Fed. States of),2018,Urban population (percent),,,22.7,
583,Micronesia (Fed. States of),2018,Capital city population (thousands),Palikir,,7,
492,Monaco,2005,Urban population (percent),,,100,
492,Monaco,2005,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.
492,Monaco,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
492,Monaco,2010,Urban population (percent),,,100,
492,Monaco,2010,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
492,Monaco,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
492,Monaco,2015,Urban population (percent),,,100,
492,Monaco,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
492,Monaco,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
492,Monaco,2018,Urban population (percent),,,100,
492,Monaco,2018,Capital city population (thousands),Monaco,,39,
496,Mongolia,2005,Urban population (percent),,,62.5,
496,Mongolia,2005,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.
496,Mongolia,2005,Rural population (percent growth rate per annum),,,-1.6,Data refers to a 5-year period preceding the reference year.
496,Mongolia,2005,Capital city population (thousands),Ulaanbaatar,,933,
496,Mongolia,2005,Capital city population (as a percentage of total population),Ulaanbaatar,,36.9,
496,Mongolia,2005,Capital city population (as a percentage of total urban population),Ulaanbaatar,,59.1,
496,Mongolia,2010,Urban population (percent),,,67.6,
496,Mongolia,2010,Urban population (percent growth rate per annum),,,3,Data refers to a 5-year period preceding the reference year.
496,Mongolia,2010,Rural population (percent growth rate per annum),,,-1.5,Data refers to a 5-year period preceding the reference year.
496,Mongolia,2010,Capital city population (thousands),Ulaanbaatar,,"1,138",
496,Mongolia,2010,Capital city population (as a percentage of total population),Ulaanbaatar,,41.9,
496,Mongolia,2010,Capital city population (as a percentage of total urban population),Ulaanbaatar,,62.1,
496,Mongolia,2015,Urban population (percent),,,68.2,
496,Mongolia,2015,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
496,Mongolia,2015,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
496,Mongolia,2015,Capital city population (thousands),Ulaanbaatar,,"1,365",
496,Mongolia,2015,Capital city population (as a percentage of total population),Ulaanbaatar,,45.8,
496,Mongolia,2015,Capital city population (as a percentage of total urban population),Ulaanbaatar,,67.2,
496,Mongolia,2018,Urban population (percent),,,68.4,
496,Mongolia,2018,Capital city population (thousands),Ulaanbaatar,,"1,520",
499,Montenegro,2005,Urban population (percent),,,62.5,
499,Montenegro,2005,Urban population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
499,Montenegro,2005,Rural population (percent growth rate per annum),,,-1.9,Data refers to a 5-year period preceding the reference year.
499,Montenegro,2010,Urban population (percent),,,64.1,
499,Montenegro,2010,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
499,Montenegro,2010,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.
499,Montenegro,2015,Urban population (percent),,,65.8,
499,Montenegro,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
499,Montenegro,2015,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.
499,Montenegro,2018,Urban population (percent),,,66.8,
499,Montenegro,2018,Capital city population (thousands),Podgorica,,177,Refers to the urban population of Podgorica municipality.
500,Montserrat,2005,Urban population (percent),,,9.3,
500,Montserrat,2005,Urban population (percent growth rate per annum),,,29.3,Data refers to a 5-year period preceding the reference year.
500,Montserrat,2005,Rural population (percent growth rate per annum),,,-2.3,Data refers to a 5-year period preceding the reference year.
500,Montserrat,2010,Urban population (percent),,,9.2,
500,Montserrat,2010,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
500,Montserrat,2010,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
500,Montserrat,2015,Urban population (percent),,,9,
500,Montserrat,2015,Urban population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.
500,Montserrat,2015,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
500,Montserrat,2018,Urban population (percent),,,9.1,
500,Montserrat,2018,Capital city population (thousands),Brades Estate,,0,
504,Morocco,2005,Urban population (percent),,,55.2,
504,Morocco,2005,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
504,Morocco,2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
504,Morocco,2005,Capital city population (thousands),Rabat,,"1,635",Including Salé and Temara.
504,Morocco,2005,Capital city population (as a percentage of total population),Rabat,,5.4,Including Salé and Temara.
504,Morocco,2005,Capital city population (as a percentage of total urban population),Rabat,,9.7,Including Salé and Temara.
504,Morocco,2010,Urban population (percent),,,58,
504,Morocco,2010,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.
504,Morocco,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.
504,Morocco,2010,Capital city population (thousands),Rabat,,"1,714",Including Salé and Temara.
504,Morocco,2010,Capital city population (as a percentage of total population),Rabat,,5.3,Including Salé and Temara.
504,Morocco,2010,Capital city population (as a percentage of total urban population),Rabat,,9.1,Including Salé and Temara.
504,Morocco,2015,Urban population (percent),,,60.8,
504,Morocco,2015,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
504,Morocco,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
504,Morocco,2015,Capital city population (thousands),Rabat,,"1,796",Including Salé and Temara.
504,Morocco,2015,Capital city population (as a percentage of total population),Rabat,,5.2,Including Salé and Temara.
504,Morocco,2015,Capital city population (as a percentage of total urban population),Rabat,,8.5,Including Salé and Temara.
504,Morocco,2018,Urban population (percent),,,62.5,
504,Morocco,2018,Capital city population (thousands),Rabat,,"1,847",Including Salé and Temara.
508,Mozambique,2005,Urban population (percent),,,30,
508,Mozambique,2005,Urban population (percent growth rate per annum),,,3.5,Data refers to a 5-year period preceding the reference year.
508,Mozambique,2005,Rural population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
508,Mozambique,2005,Capital city population (thousands),Maputo,,"1,072",
508,Mozambique,2005,Capital city population (as a percentage of total population),Maputo,,5.1,
508,Mozambique,2005,Capital city population (as a percentage of total urban population),Maputo,,17.1,
508,Mozambique,2010,Urban population (percent),,,31.8,
508,Mozambique,2010,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.
508,Mozambique,2010,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
508,Mozambique,2010,Capital city population (thousands),Maputo,,"1,097",
508,Mozambique,2010,Capital city population (as a percentage of total population),Maputo,,4.5,
508,Mozambique,2010,Capital city population (as a percentage of total urban population),Maputo,,14.2,
508,Mozambique,2015,Urban population (percent),,,34.4,
508,Mozambique,2015,Urban population (percent growth rate per annum),,,4.5,Data refers to a 5-year period preceding the reference year.
508,Mozambique,2015,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
508,Mozambique,2015,Capital city population (thousands),Maputo,,"1,100",
508,Mozambique,2015,Capital city population (as a percentage of total population),Maputo,,3.9,
508,Mozambique,2015,Capital city population (as a percentage of total urban population),Maputo,,11.4,
508,Mozambique,2018,Urban population (percent),,,36,
508,Mozambique,2018,Capital city population (thousands),Maputo,,"1,102",
104,Myanmar,2005,Urban population (percent),,,27.9,
104,Myanmar,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.
104,Myanmar,2005,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.
104,Myanmar,2005,Capital city population (thousands),Nay Pyi Taw,,148,
104,Myanmar,2005,Capital city population (as a percentage of total population),Nay Pyi Taw,,0.3,
104,Myanmar,2005,Capital city population (as a percentage of total urban population),Nay Pyi Taw,,1.1,
104,Myanmar,2010,Urban population (percent),,,28.9,
104,Myanmar,2010,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
104,Myanmar,2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.
104,Myanmar,2010,Capital city population (thousands),Nay Pyi Taw,,234,
104,Myanmar,2010,Capital city population (as a percentage of total population),Nay Pyi Taw,,0.5,
104,Myanmar,2010,Capital city population (as a percentage of total urban population),Nay Pyi Taw,,1.6,
104,Myanmar,2015,Urban population (percent),,,29.9,
104,Myanmar,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
104,Myanmar,2015,Rural population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.
104,Myanmar,2015,Capital city population (thousands),Nay Pyi Taw,,376,
104,Myanmar,2015,Capital city population (as a percentage of total population),Nay Pyi Taw,,0.7,
104,Myanmar,2015,Capital city population (as a percentage of total urban population),Nay Pyi Taw,,2.4,
104,Myanmar,2018,Urban population (percent),,,30.6,
104,Myanmar,2018,Capital city population (thousands),Nay Pyi Taw,,500,
516,Namibia,2005,Urban population (percent),,,36.6,
516,Namibia,2005,Urban population (percent growth rate per annum),,,3.8,Data refers to a 5-year period preceding the reference year.
516,Namibia,2005,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.
516,Namibia,2005,Capital city population (thousands),Windhoek,,268,
516,Namibia,2005,Capital city population (as a percentage of total population),Windhoek,,13.2,
